Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,,,,
00050.ppm,,,0,0,22,28,2,946,373,967,400
00102.ppm,,,0,0,40,42,2,945,374,984,415
00161.ppm,,,0,0,19,18,2,717,445,735,462
00200.ppm,,,0,0,53,53,2,849,364,901,416
00204.ppm,,,0,0,54,57,2,730,260,783,316
00206.ppm,,,0,0,75,74,2,61,105,135,178
00212.ppm,,,0,0,23,24,2,293,427,315,450
00466.ppm,,,0,0,25,25,2,519,494,543,518
00516.ppm,,,0,0,59,59,2,240,275,298,333
00785.ppm,,,0,0,33,33,2,510,435,542,467
00785.ppm,,,0,0,33,33,2,1003,469,1035,501
00797.ppm,,,0,0,28,29,2,396,494,423,522
