Filename,Width,Height,Roi.Y1,Roi.X1,Roi.Y2,Roi.X2,ClassId
00020_00000.ppm,84,75,6,7,68,76,6
00020_00001.ppm,86,92,8,7,83,78,6
00020_00002.ppm,83,82,7,7,75,75,6
00048_00000.ppm,154,130,11,13,119,141,6
00048_00001.ppm,156,155,13,13,141,142,6
00048_00002.ppm,154,147,12,13,134,141,6
00053_00000.ppm,158,136,11,13,125,144,6
00053_00001.ppm,160,159,13,13,145,147,6
00053_00002.ppm,159,160,13,13,147,146,6
00112_00000.ppm,70,71,6,6,65,63,6
00112_00001.ppm,79,71,6,7,65,71,6
00112_00002.ppm,74,72,6,6,65,67,6
00293_00000.ppm,179,176,15,15,160,163,6
00293_00001.ppm,179,167,14,15,153,164,6
00293_00002.ppm,182,177,15,15,162,166,6
00362_00000.ppm,154,145,12,13,133,140,6
00362_00001.ppm,159,159,13,13,146,145,6
00362_00002.ppm,157,154,13,13,141,143,6
00363_00000.ppm,154,153,13,13,139,140,6
00363_00001.ppm,148,144,12,12,132,136,6
00363_00002.ppm,153,152,13,13,138,139,6
00537_00000.ppm,74,50,5,6,44,67,6
00537_00001.ppm,63,44,5,5,38,58,6
00537_00002.ppm,57,39,5,5,34,51,6
00560_00000.ppm,203,217,18,17,199,185,6
00560_00001.ppm,212,226,19,18,207,194,6
00560_00002.ppm,203,206,17,17,189,186,6
00570_00000.ppm,63,63,5,5,57,58,6
00570_00001.ppm,61,60,5,5,55,56,6
00570_00002.ppm,60,59,5,5,53,54,6
00571_00000.ppm,60,57,5,5,52,54,6
00571_00001.ppm,60,58,5,5,52,54,6
00571_00002.ppm,60,58,5,5,53,54,6
00665_00000.ppm,94,75,6,8,69,85,6
00665_00001.ppm,94,75,6,8,69,86,6
00665_00002.ppm,94,74,6,8,67,85,6
00678_00000.ppm,187,166,14,16,151,171,6
00678_00001.ppm,180,163,14,15,149,164,6
00678_00002.ppm,202,172,14,17,157,184,6
00687_00000.ppm,118,94,8,10,86,108,6
00687_00001.ppm,117,94,8,10,85,106,6
00687_00002.ppm,118,95,8,10,86,107,6
